Linux 4.18.0-553.144.1.el8_10.x86_64 (ac062) 	08/06/26 	_x86_64_	(96 CPU)

13:07:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:22:04      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      48   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      49   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      50   98.80    0.00    0.80    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      51   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      52   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      53   61.52    0.00   38.28    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:04      54   62.00    0.00   37.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      56    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
13:22:04      57   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      58   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      59   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:04      70   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      71   98.00    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    1.40
13:22:04      72   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:04      73   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
